n,m,TD,BU
10,10,0.00828532,0.00726809
10,20,0.0145049,0.0116224
10,30,0.0207586,0.0151193
10,40,0.030819,0.0193188
10,50,0.0395232,0.0232753
10,60,0.0476992,0.0275337
10,70,0.0560085,0.0314258
10,80,0.0643658,0.0353526
10,90,0.0732606,0.0394381
10,100,0.0787291,0.0434222
10,110,0.0882078,0.0478198
10,120,0.0935054,0.0515
10,130,0.103842,0.0558855
10,140,0.108373,0.0595897
10,150,0.11643,0.0704217
10,160,0.126836,0.0685708
10,170,0.131016,0.072416
10,180,0.137967,0.0756724
10,190,0.145742,0.0796803
10,200,0.149983,0.0845122
10,210,0.149543,0.0881147
10,220,0.163186,0.0926239
10,230,0.176036,0.0966358
10,240,0.173907,0.100881
10,250,0.187003,0.10547
10,260,0.17097,0.108925
10,270,0.180701,0.119006
10,280,0.187517,0.121887
10,290,0.202956,0.126546
10,300,0.19654,0.125534
10,310,0.204594,0.128178
10,320,0.211149,0.134292
10,330,0.21757,0.137044
10,340,0.226652,0.142923
10,350,0.232714,0.145953
10,360,0.238061,0.149491
10,370,0.246704,0.154057
10,380,0.251769,0.157067
10,390,0.2609,0.16185
10,400,0.268639,0.165457
10,410,0.275118,0.170727
10,420,0.288741,0.173257
10,430,0.291108,0.177404
10,440,0.299444,0.181384
10,450,0.305268,0.185693
10,460,0.314241,0.207621
10,470,0.374053,0.197858
10,480,0.332452,0.200563
10,490,0.365872,0.217795
10,500,0.349827,0.206689
10,510,0.353579,0.210858
10,520,0.361255,0.216574
10,530,0.367184,0.218791
10,540,0.374863,0.227582
10,550,0.384711,0.22723
10,560,0.390702,0.231702
10,570,0.398752,0.241445
10,580,0.40497,0.242895
10,590,0.418507,0.244078
10,600,0.423408,0.247842
10,610,0.427069,0.251999
10,620,0.436581,0.255391
10,630,0.442886,0.259925
10,640,0.453728,0.263335
10,650,0.458986,0.268035
10,660,0.466727,0.271829
10,670,0.473673,0.277415
10,680,0.48184,0.280291
10,690,0.490466,0.284344
10,700,0.49511,0.2888
10,710,0.504224,0.292165
10,720,0.511084,0.296316
10,730,0.517897,0.301729
10,740,0.529575,0.305849
10,750,0.539707,0.314809
10,760,0.541485,0.325563
10,770,0.549988,0.316488
10,780,0.565473,0.321908
10,790,0.563844,0.326912
10,800,0.571427,0.328333
10,810,0.58098,0.333789
10,820,0.587627,0.33722
10,830,0.594038,0.353103
10,840,0.601099,0.350757
10,850,0.605925,0.349269
10,860,0.617746,0.353411
10,870,0.625386,0.361871
10,880,0.63542,0.363763
10,890,0.639938,0.365992
10,900,0.645944,0.378281
10,910,0.651719,0.373554
10,920,0.668753,0.40417
